name,Zip code,Number of reviewers,Overall score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Daily Housekeeping,Heating,Free Parking,Airport Shuttle (free),Private Parking,Spa,On-site Parking,Fitness Center,Room Service,Family Rooms,Parking,Airport Shuttle,Air Conditioning,Free WiFi.1,Laundry,Water Park,Pet Friendly,Outdoor Pool,Indoor Pool,Elevator,Garden,Facilities for Disabled Guests,Bar,Beach nearby,wonderful Fitness Center,Beachfront,Non-smoking Rooms,Terrace,Swimming Pool,very good Fitness Center,Restaurant,Private Beach Area,exceptional Fitness Center,24-Hour Front Desk,WiFi,BBQ Facilities,Dist
I Love L.A. Downtown Orange and Teal,90012,70.0,6.0,8.0,9.0,6.0,8.0,9.0,4.0,5.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(0.7 miles from center)
Los Angeles Eagle Rock Art District Combo,90012,80.0,9.0,3.0,4.0,10.0,9.0,3.0,9.0,6.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(5.6 miles from center)
Best Western Plus Dragon Gate Inn,90012,565.0,8.0,8.5,8.1,7.9,8.3,7.5,7.9,7.8,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(0.8 miles from center)
Grand Suites,90012,13.0,9.3,9.2,9.8,9.8,9.6,8.5,10.0,8.7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"(1,000 feet from center)"
Luxury Resort Style Apartment DTLA (Free Parking),90012,42.0,2.0,3.0,5.0,7.0,5.0,1.0,8.0,4.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(0.7 miles from center)
Omni Los Angeles Hotel California Plaza,90012,463.0,8.6,9.0,8.9,8.7,8.8,7.6,5.2,8.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,"(2,150 feet from center)"
Popular Downtown LA Platinum Resort Style Suite,90012,17.0,8.1,7.7,8.4,8.1,8.4,8.0,8.4,7.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(0.8 miles from center)
Superior Suites,90012,9.0,8.5,8.3,8.3,8.9,8.1,8.3,9.2,3.0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"(1,000 feet from center)"
Downtown Condo,90012,100.0,3.0,2.0,1.0,10.0,7.0,10.0,2.0,2.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(0.7 miles from center)
Comfort Suites,90012,16.0,8.7,9.4,8.9,8.9,8.6,7.8,10.0,8.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"(1,000 feet from center)"
East West Comfort: Downtown LA Inspiring Apartment,90012,5.0,8.8,9.0,8.0,9.5,9.0,7.5,9.5,3.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(0.8 miles from center)
DTLA Apartment,90012,55.0,6.0,1.0,7.0,10.0,2.0,8.0,9.0,1.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(0.7 miles from center)
Royal Pagoda Motel,90012,,7.6,7.7,7.4,7.2,8.0,7.3,7.8,7.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,(1.1 miles from center)
American Hotel,90013,,8.1,8.5,8.0,7.7,8.7,8.0,8.6,8.0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(0.7 miles from center)
Stylish Loft in Downtown LA,90013,29.0,7.0,4.0,3.0,4.0,9.0,5.0,2.0,9.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(2,150 feet from center)"
The Judson DTLA Loft 1.8,90013,1.0,7.0,3.0,1.0,10.0,2.0,10.0,3.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(2,450 feet from center)"
Trendy Loft in Downtown LA,90013,76.0,2.0,4.0,4.0,8.0,3.0,9.0,2.0,10.0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"(2,150 feet from center)"
The NoMad Los Angeles,90014,125.0,8.9,9.4,9.1,9.1,8.8,8.2,8.9,8.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(0.8 miles from center)
