name,Zip code,Number of reviewers,Overall score,Cleanliness,Comfort,Facilities,Staff,Value for money,Free WiFi,Location,good Fitness Center,Daily Housekeeping,Heating,Free Parking,Airport Shuttle (free),Private Parking,Spa,On-site Parking,Fitness Center,Room Service,Family Rooms,Parking,Airport Shuttle,Air Conditioning,Free WiFi.1,Laundry,Water Park,Pet Friendly,Outdoor Pool,Indoor Pool,Elevator,Garden,Facilities for Disabled Guests,Bar,Beach nearby,wonderful Fitness Center,Beachfront,Non-smoking Rooms,Terrace,Swimming Pool,very good Fitness Center,Restaurant,Private Beach Area,exceptional Fitness Center,24-Hour Front Desk,WiFi,BBQ Facilities,Dist
Villa Woodland,90049,12.0,9.0,10.0,10.0,6.0,7.0,9.0,7.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,(13 miles from center)
Cosy Bundy,90049,31.0,10.0,7.0,9.0,1.0,1.0,10.0,8.0,9.0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,(13 miles from center)
Brentwood Inn,90049,30.0,8.7,9.2,9.0,8.5,9.4,7.9,10.0,8.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,(13 miles from center)
Brentwood Family home,90049,5.0,8.1,7.5,8.5,7.5,8.0,8.0,9.0,3.0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,(13.7 miles from center)
Selby Ave Guest House,90064,75.0,10.0,10.0,9.9,10.0,9.9,9.9,10.0,9.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,(9.9 miles from center)
Century Park Hotel LA,90064,131.0,7.4,7.8,7.4,6.9,8.0,6.8,8.4,7.7,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(9.9 miles from center)
Best Western Royal Palace Inn & Suites,90064,373.0,8.0,8.3,8.1,7.8,8.6,7.5,8.3,7.9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(10.6 miles from center)
McConnell Holiday Home 11049,90066,69.0,4.0,8.0,5.0,2.0,4.0,2.0,2.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(11.2 miles from center)
Villa Brasil Motel,90066,34.0,9.2,9.3,9.1,9.0,9.5,9.0,8.5,9.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,(10.6 miles from center)
Super 8 by Wyndham Los Angeles-Culver City Area,90066,498.0,8.3,8.8,8.5,8.3,8.5,7.8,8.6,8.1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(11.2 miles from center)
Vacation House at Marina Del Rey/ Venice Beach,90066,80.0,8.0,7.0,4.0,5.0,4.0,2.0,2.0,6.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(11.8 miles from center)
Bungalows at Marina del Rey/ Venice Beach,90066,109.0,8.8,8.9,8.7,8.8,9.3,8.2,8.5,8.6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,(11.8 miles from center)
InterContinental Los Angeles Century City at Beverly Hills,90067,512.0,8.6,9.0,8.9,8.6,9.0,7.7,7.5,8.6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,(9.3 miles from center)
Breathtaking Spanish Villa In Hollywood Hills,90068,47.0,7.0,9.0,5.0,4.0,3.0,7.0,2.0,5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(7.5 miles from center)
Lexen Hotel - Hollywood,90068,392.0,8.6,9.2,8.6,8.3,8.8,7.9,8.4,8.7,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,(6.2 miles from center)
Hollywood Modern Rustic Pad Hollywood Bowl,90068,97.0,7.0,1.0,6.0,5.0,9.0,1.0,1.0,2.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,(6.2 miles from center)
"Deluxe, Universal Studios / 2 rooms",90068,39.0,8.3,8.7,8.3,8.2,8.0,7.8,8.8,8.8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(7.5 miles from center)
BLVD Hotel & Suites,90068,,8.0,8.2,8.0,7.6,8.2,7.4,8.4,8.7,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
Oakwood Toluca Hills,90068,,8.1,7.8,8.4,8.1,8.1,7.9,8.7,8.4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,(8.1 miles from center)
Holiday Inn Express Hollywood Walk of Fame,90068,,8.0,8.1,8.1,7.6,8.4,7.2,7.7,8.8,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
"Tilt Hotel Universal Hollywood, an Ascend Hotel Collection Member",90068,694.0,7.9,8.0,8.0,7.6,8.2,7.1,8.3,8.4,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,(7.5 miles from center)
Live like a Hollywood Celebrity,90068,21.0,7.6,8.1,7.0,7.0,7.9,7.3,8.3,9.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(5.6 miles from center)
Hilton Garden Inn Los Angeles / Hollywood,90068,384.0,7.9,8.2,7.8,7.7,8.2,7.0,7.7,8.6,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
Starview Hollywood Vacation Home,90068,90.0,1.0,5.0,6.0,10.0,10.0,9.0,10.0,8.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(6.2 miles from center)
Modern Vintage,90068,79.0,9.0,2.0,3.0,2.0,5.0,1.0,2.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,(6.2 miles from center)
Highland Apartment 11197,90068,64.0,1.0,5.0,5.0,4.0,10.0,7.0,5.0,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(6.2 miles from center)
"Hollywood Hills Home, Pool, Views, Lake",90068,44.0,8.0,4.0,4.0,10.0,3.0,1.0,10.0,9.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.8 miles from center)
Perfect Retreat,90068,91.0,5.0,5.0,6.0,8.0,9.0,9.0,7.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(6.2 miles from center)
Hollywood Bowl Retro Chic Suite,90068,77.0,10.0,8.0,4.0,2.0,4.0,4.0,5.0,8.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(6.2 miles from center)
Luxurious Hollywood Mansion Under Hollywood Sign,90068,69.0,3.0,4.0,4.0,8.0,7.0,3.0,5.0,3.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,(6.2 miles from center)
"Gorgeous Bungalow walk to Universal Studios, Hollywood",90068,40.0,9.5,9.7,9.4,9.5,9.5,9.5,10.0,9.8,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(8.7 miles from center)
Chic Hollywood Hideaway Cabin,90068,20.0,1.0,8.0,3.0,7.0,6.0,2.0,7.0,7.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,(6.2 miles from center)
Hollywood Guest house,90068,27.0,7.0,6.0,7.0,7.0,9.0,10.0,6.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(7.5 miles from center)
1908 Hillcrest Rd Cabin Cabin,90068,27.0,10.0,5.0,10.0,9.0,6.0,3.0,5.0,10.0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(6.2 miles from center)
Tareco Holiday Home,90068,58.0,2.0,8.0,8.0,4.0,7.0,10.0,3.0,4.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(7.5 miles from center)
6418 Dix Street Townhouse Townhouse,90068,95.0,3.0,10.0,3.0,4.0,10.0,1.0,6.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(5.6 miles from center)
1912 Hillcrest Rd Cabin Cabin,90068,11.0,4.0,1.0,1.0,2.0,6.0,7.0,4.0,6.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,(6.2 miles from center)
6420 Dix Street Home Townhouse,90068,60.0,10.0,10.0,7.0,5.0,3.0,5.0,4.0,1.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,(5.6 miles from center)
2060 Glencoe Way Duplex A,90068,44.0,6.0,1.0,10.0,1.0,4.0,4.0,8.0,8.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
Serene Studio Cabin,90068,40.0,9.0,9.0,7.0,6.0,1.0,8.0,3.0,10.0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(6.2 miles from center)
2 Bedrooms Apartment in Los Angeles,90068,10.0,8.0,10.0,10.0,1.0,3.0,8.0,1.0,5.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,(6.2 miles from center)
Hollywood Hills Spanish,90068,16.0,9.0,9.4,9.4,9.1,8.1,8.6,9.7,10.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,(6.2 miles from center)
HUGE -STYLISH- HOLLYWOOD DUPLEX - CENTRAL LOCATION,90068,65.0,10.0,7.0,2.0,4.0,8.0,3.0,10.0,7.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(4.3 miles from center)
Best Western Hollywood Plaza Inn,90068,999.0,8.0,8.3,7.7,7.5,8.3,7.2,8.8,8.7,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(6.2 miles from center)
"LUXE Hollywood Villa | Pool, Privacy & Exclusive_1566",90068,14.0,3.0,3.0,1.0,10.0,6.0,7.0,10.0,9.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(7.5 miles from center)
Private Hollywood Heights Hideaway - Chic Bungalow Cabin,90068,62.0,4.0,9.0,9.0,8.0,2.0,5.0,8.0,3.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,(6.2 miles from center)
4BR Hollywood Holiday Home,90068,31.0,9.0,6.0,6.0,9.0,9.0,6.0,6.0,4.0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(7.5 miles from center)
The Jeremy Hotel West Hollywood,90069,563.0,8.9,9.3,9.0,8.7,8.9,8.2,9.5,9.1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(8.1 miles from center)
The London West Hollywood at Beverly Hills,90069,865.0,8.8,9.2,9.1,8.9,8.9,7.9,8.9,8.9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(8.1 miles from center)
Best Western Plus Sunset Plaza Hotel,90069,,8.4,8.7,8.5,8.2,8.3,7.6,8.4,8.7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(7.5 miles from center)
Andaz West Hollywood-a concept by Hyatt,90069,649.0,8.8,9.1,9.0,8.8,9.2,7.9,8.7,9.1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(7.5 miles from center)
The Charlie West Hollywood,90069,252.0,9.1,9.2,9.3,9.0,9.0,8.6,9.1,9.6,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(7.5 miles from center)
Sunset Marquis Hotel,90069,254.0,8.9,9.2,9.2,8.8,9.1,8.0,5.5,9.3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,(8.1 miles from center)
Petit Ermitage,90069,588.0,8.7,9.0,8.9,8.8,8.7,7.6,8.6,9.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(8.1 miles from center)
Sunset Home,90069,13.0,8.2,8.3,7.7,7.9,8.3,8.3,8.7,5.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(7.5 miles from center)
Kimpton La Peer Hotel,90069,48.0,8.8,9.5,8.7,8.8,9.2,7.8,10.0,9.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(8.1 miles from center)
Modern West Hollywood Home With Heated Pool,90069,6.0,9.0,3.0,9.0,5.0,5.0,5.0,5.0,6.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(8.1 miles from center)
Le Parc Suite Hotel,90069,425.0,8.3,8.3,8.6,8.2,8.6,7.5,5.6,8.7,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,(7.5 miles from center)
Kings Home,90069,9.0,9.2,8.9,9.2,9.7,8.9,8.9,9.5,7.0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(7.5 miles from center)
Sunset Tower Hotel,90069,112.0,8.7,9.1,8.9,8.3,8.9,7.9,8.9,9.2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(7.5 miles from center)
Mondrian Los Angeles in West Hollywood,90069,732.0,7.7,8.0,7.9,7.5,7.7,6.6,5.7,8.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(8.1 miles from center)
"The Standard, Hollywood",90069,563.0,7.8,7.9,7.7,7.4,8.2,6.9,7.8,8.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(7.5 miles from center)
Montrose West Hollywood,90069,458.0,7.7,7.8,8.0,7.6,7.8,6.8,5.8,8.4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,(8.1 miles from center)
Devlin Holiday Home 10230,90069,61.0,8.0,8.0,9.0,4.0,3.0,5.0,1.0,10.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,(8.1 miles from center)
Sunset Penthouse,90069,48.0,2.0,5.0,2.0,10.0,7.0,6.0,9.0,4.0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,(8.1 miles from center)
Los Angeles Room,90069,30.0,7.0,6.0,3.0,5.0,7.0,7.0,3.0,10.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(8.1 miles from center)
The Hollywood Hills Villa,90069,89.0,4.0,8.0,9.0,9.0,3.0,6.0,3.0,3.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,(8.1 miles from center)
West Hollywood Studio,90069,9.0,9.2,9.7,9.1,10.0,9.2,8.5,8.8,7.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,(8.1 miles from center)
Sunset Plaza Chateau,90069,77.0,8.0,10.0,10.0,4.0,6.0,5.0,3.0,6.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,(8.1 miles from center)
West Hollywood Suites,90069,31.0,8.0,10.0,10.0,2.0,7.0,1.0,9.0,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(7.5 miles from center)
Sunset Plaza 4,90069,59.0,7.0,6.0,4.0,10.0,10.0,2.0,6.0,1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,(8.1 miles from center)
Veeve - West Hollywood Retreat,90069,15.0,8.0,3.0,9.0,3.0,8.0,6.0,4.0,5.0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(7.5 miles from center)
West Hollywood Home Unit B Townhouse,90069,82.0,1.0,2.0,2.0,3.0,10.0,7.0,1.0,4.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,(6.8 miles from center)
Palihouse West Hollywood,90069,86.0,8.7,8.7,8.8,8.7,8.6,8.2,9.0,8.9,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,(7.5 miles from center)
Veeve - Luxury Rise near Sunset Boulevard,90069,52.0,1.0,10.0,8.0,7.0,6.0,9.0,6.0,4.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(8.1 miles from center)
Honeymoon On Sunset,90069,32.0,9.0,7.0,5.0,6.0,7.0,6.0,5.0,9.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,(8.1 miles from center)
Melrose Apartment # 18,90069,9.0,8.3,8.6,8.6,8.3,8.1,7.8,5.0,8.6,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,(7.5 miles from center)
Millennium Biltmore Los Angeles,90071,,8.1,8.3,8.1,8.0,8.2,7.3,7.9,8.5,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(0.7 miles from center)
The Westin Bonaventure Hotel & Suites,90071,715.0,8.3,8.7,8.5,8.3,8.5,7.5,8.7,8.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(0.8 miles from center)
"The Standard, Downtown LA",90071,705.0,7.8,8.1,7.7,7.7,7.8,6.9,8.2,8.3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(0.8 miles from center)
Hotel Bel-Air,90077,93.0,9.4,9.7,9.7,9.5,9.4,8.4,9.2,9.5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(11.8 miles from center)
Bel Air Villa,90077,34.0,8.2,8.7,8.2,7.6,8.6,7.4,9.2,8.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(11.8 miles from center)
Marina Vacation Rentals,90094,196.0,8.7,8.7,8.7,8.6,9.2,8.4,9.0,8.6,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,(11.8 miles from center)
Runway Apartment A105,90094,86.0,3.0,4.0,6.0,3.0,10.0,1.0,9.0,2.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(11.2 miles from center)
EXQUISITE MARINA 2BDR SUITE WITH BALCONY & RELAXING VIEWS,90094,9.0,7.9,7.8,7.5,7.8,7.8,7.5,7.5,9.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(11.8 miles from center)
Runway Playa Vista Apt. C223,90094,55.0,5.0,4.0,8.0,9.0,10.0,7.0,2.0,10.0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,(11.2 miles from center)
Urban Downtown LA Moroccan Resort Suite,90115,29.0,8.8,8.5,9.0,8.7,9.1,8.4,9.4,8.9,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(1.3 miles from center)
Viceroy L'Ermitage Beverly Hills,90210,445.0,9.2,9.6,9.5,9.2,9.3,8.5,9.5,9.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(8.7 miles from center)
Waldorf Astoria Beverly Hills,90210,71.0,9.3,9.7,9.6,9.5,9.4,8.3,8.5,9.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(9.3 miles from center)
Montage Beverly Hills,90210,160.0,8.9,9.3,9.1,8.9,9.0,7.6,8.6,9.6,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(8.7 miles from center)
Hotel Beverly Terrace,90210,,8.5,8.9,8.2,8.3,9.0,7.7,8.8,8.9,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,(8.1 miles from center)
The Beverly Hills Hotel,90210,288.0,9.4,9.6,9.6,9.5,9.6,8.4,9.3,9.6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(9.9 miles from center)
Luxe Rodeo Drive Hotel,90210,753.0,8.2,8.4,8.1,7.8,8.5,7.2,7.8,9.4,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,(8.7 miles from center)
The Beverly Hilton,90210,545.0,8.0,8.4,8.1,7.9,8.2,6.8,6.1,6.2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,(9.3 miles from center)
AKA Beverly Hills,90210,26.0,9.3,9.2,9.6,9.1,9.5,8.9,8.8,9.6,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,(8.7 miles from center)
Briarcrest Estate,90210,11.0,2.0,8.0,3.0,8.0,9.0,1.0,3.0,9.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(9.3 miles from center)
Ysidro Modern Tower Groove with Sunny Garden,90210,38.0,3.0,9.0,5.0,1.0,9.0,4.0,1.0,6.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,(10.6 miles from center)
